record_id,data_class,valid_record,quality_issue,q0,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20,q21,q22,q23,q24,q25,q26,q27,q28,q29,q30,q31,q32
REAL-016,REAL_SUPPLIED,1,,同意,同意,愿意,韩语,HSK5及以上,2年以上,来华国际学生,在沪学习或工作不满1年,1—3小时,4,4,5,3,2,3,5,3,节庆礼仪、饮食、公共交通,练习反馈、英文解释,10分钟活动,能继续追问、教学可操作、有来源,未试用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,外滩保留老上海风貌，陆家嘴是现代化的象征。,B,B,希望能按HSK等级筛选内容
REAL-017,REAL_SUPPLIED,1,,同意,同意,不愿意,英语,HSK3,2年以上,来华国际学生,在沪学习或工作不满1年,4—7小时,3,2,3,2,3,3,3,3,饮食、非遗与老字号、节庆礼仪,分级中文、来源链接,10分钟活动,准确、易懂、能继续追问,已试用,4,5,5,4,4,3,4,外滩有百年历史，陆家嘴是现代化的象征。,B,C,希望有学习进度记录
REAL-018,REAL_SUPPLIED,1,,同意,同意,不愿意,英语,不清楚,不足3个月,来华国际学生,在沪1年以上,1—3小时,2,2,3,3,3,4,4,5,非遗与老字号、校园生活、文学艺术,拼音、分级中文、英文解释,45分钟课堂,准确、教学可操作、语种支持,未试用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,外滩建筑保存老样子，陆家嘴不断在长高。,B,B,希望有和AI角色对话练习点餐的功能
REAL-019,REAL_SUPPLIED,1,,同意,同意,不愿意,韩语,HSK5及以上,2年以上,来华国际学生,在沪学习或工作不满1年,4—7小时,3,4,4,3,3,3,3,4,社区生活、城市建筑、红色文化,来源链接、练习反馈、英文解释,45分钟课堂,语种支持、准确、能继续追问,未试用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,外滩晚上是金色灯光，陆家嘴是彩色霓虹。,B,B,增加更多分级阅读材料
REAL-020,REAL_SUPPLIED,1,,同意,同意,不愿意,英语,HSK5及以上,2年以上,来华国际学生,在沪1年以上,8小时以上,3,5,4,4,2,4,4,2,非遗与老字号、校园生活、社区生活,情境对话、分级中文,10分钟活动,准确、能继续追问、有来源,已试用,4,3,5,3,5,4,5,外滩记录着老上海故事，陆家嘴是现代化的象征。,C,A,希望有每周学习报告
REAL-021,REAL_SUPPLIED,1,,同意,同意,不愿意,俄语,HSK1,7—12个月,来华国际学生,在沪学习或工作不满1年,4—7小时,2,2,1,2,2,5,4,4,饮食、校园生活、社区生活,分级中文、情境对话、英文解释,45分钟课堂,准确、能继续追问、有来源,未试用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,外滩像欧洲城市，陆家嘴像未来城市。,B,B,建议增加文化误区的提醒功能
REAL-022,REAL_SUPPLIED,1,,同意,同意,不愿意,韩语,HSK2,1—2年,来华国际学生,在沪学习或工作不满1年,少于1小时,2,2,3,1,4,3,5,4,饮食、文学艺术,文化辨析、分级中文、例句,城市行走任务,语种支持、准确、有来源,未试用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,外滩保留老上海风貌，陆家嘴充满科技感。,B,B,内容很好，暂时没有建议
REAL-023,REAL_SUPPLIED,1,,同意,同意,不愿意,韩语,HSK4,1—2年,来华国际学生,在沪学习或工作不满1年,1—3小时,4,3,4,4,2,3,2,1,节庆礼仪、城市建筑、非遗与老字号,情境对话、来源链接,1分钟微任务,教学可操作、有来源、准确,已试用,5,3,5,4,4,5,4,陆家嘴高楼多，外滩老建筑多。,B,B,增加非遗和老字号的专题
REAL-024,REAL_SUPPLIED,1,,同意,同意,不愿意,俄语,HSK3,1—2年,来华国际学生,在沪学习或工作不满1年,4—7小时,3,4,4,3,3,3,5,4,城市建筑、饮食、公共交通,情境对话、英文解释、图片地图,聊天问答,易懂、能继续追问、准确,未试用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,外滩有百年历史，陆家嘴是金融高楼群。,B,A,加入拼音开关，方便初学者
REAL-025,REAL_SUPPLIED,1,,同意,同意,不愿意,葡萄牙语,HSK5及以上,2年以上,来华国际学生,在沪1年以上,1—3小时,3,3,4,5,1,5,5,5,工业遗产、城市建筑、饮食,葡语解释、图片地图、来源链接,聊天问答,易懂、准确、语种支持,未试用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,外滩是欧式老建筑，陆家嘴是现代化的象征。,B,B,希望有离线模式
REAL-026,REAL_SUPPLIED,1,,同意,同意,不愿意,阿拉伯语,HSK2,3—6个月,来华国际学生,在沪学习或工作不满1年,1—3小时,2,3,3,3,1,3,4,4,饮食、公共交通、红色文化,练习反馈、情境对话、英文解释,10分钟活动,准确、语种支持、易懂,未试用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,外滩有百年历史，陆家嘴代表新上海。,B,A,增加关于上海历史称谓的讲解
REAL-027,REAL_SUPPLIED,1,,同意,同意,不愿意,西班牙语,HSK4,1—2年,来华国际学生,在沪1年以上,1—3小时,4,3,3,3,2,5,3,4,饮食、公共交通、非遗与老字号,分级中文、例句、练习反馈,10分钟活动,易懂、有来源、准确,未试用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,外滩充满历史感，陆家嘴楼更高更现代。,B,C,希望有地铁出行场景的对话练习
REAL-028,REAL_SUPPLIED,1,,同意,同意,愿意,其他（法语）,HSK3,7—12个月,国际中文教育教师或志愿者,在沪学习或工作不满1年,少于1小时,2,4,3,1,3,4,4,4,节庆礼仪、校园生活、非遗与老字号,分级中文、情境对话、文化辨析,1分钟微任务,语种支持、教学可操作、能继续追问,未试用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,外滩有百年历史，陆家嘴展现都市新面貌。,B,B,加入外滩和陆家嘴的对比专题
REAL-029,REAL_SUPPLIED,1,,同意,同意,不愿意,英语,HSK3,1—2年,来华国际学生,短期到访,少于1小时,3,3,4,3,3,4,4,4,节庆礼仪、非遗与老字号、社区生活,英文解释、分级中文、情境对话,10分钟活动,能继续追问、语种支持、准确,未试用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,外滩的建筑像博物馆，陆家嘴的建筑像科幻片。,B,B,希望解释更口语化一些
REAL-030,REAL_SUPPLIED,1,,同意,同意,不愿意,俄语,HSK4,1—2年,来华国际学生,在沪学习或工作不满1年,1—3小时,3,3,4,3,4,4,4,2,饮食、城市建筑、公共交通,分级中文、练习反馈、拼音,城市行走任务,易懂、有来源、准确,未试用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,外滩记录着老上海故事，陆家嘴代表新上海。,B,B,希望支持语音输入提问
REAL-031,REAL_SUPPLIED,1,,同意,同意,愿意,韩语,HSK5及以上,2年以上,来华国际学生,在沪1年以上,1—3小时,4,3,4,2,2,4,4,3,节庆礼仪、校园生活、饮食,文化辨析、葡语解释、情境对话,1分钟微任务,能继续追问、语种支持、有来源,已试用,4,5,3,3,5,4,5,外滩是古典建筑群，陆家嘴是现代化的象征。,B,A,暂时没有，整体不错
REAL-032,REAL_SUPPLIED,1,,同意,同意,不愿意,日语,HSK2,7—12个月,来华国际学生,在沪学习或工作不满1年,4—7小时,3,1,4,3,4,2,5,4,非遗与老字号、公共交通、节庆礼仪,英文解释、例句、图片地图,1分钟微任务,能继续追问、易懂、语种支持,未试用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,外滩是万国建筑博览，陆家嘴充满科技感。,B,B,文化辨析部分很实用，希望增加内容
REAL-033,REAL_SUPPLIED,1,,同意,同意,不愿意,日语,HSK4,2年以上,在沪外籍人士,在沪学习或工作不满1年,1—3小时,4,3,4,3,3,5,4,4,饮食、非遗与老字号、城市建筑,分级中文、例句、英文解释,1分钟微任务,准确、教学可操作、语种支持,已试用,5,4,3,3,4,3,3,外滩风格古典优雅，陆家嘴是现代摩天大楼。,B,B,增加练习题的数量和即时反馈
REAL-034,REAL_SUPPLIED,1,,同意,同意,不愿意,葡萄牙语,HSK3,7—12个月,来华国际学生,在沪1年以上,4—7小时,3,3,4,4,4,4,5,2,社区生活、非遗与老字号、校园生活,文化辨析、练习反馈、例句,45分钟课堂,有来源、易懂、准确,未试用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,外滩历史更久，陆家嘴更现代化。,B,B,希望增加节庆礼仪的实景视频
REAL-035,REAL_SUPPLIED,1,,同意,同意,愿意,俄语,HSK3,1—2年,来华国际学生,在沪1年以上,8小时以上,3,2,3,3,2,5,5,4,城市建筑、饮食、校园生活,英文解释、情境对话,10分钟活动,能继续追问、教学可操作、准确,未试用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,外滩的建筑有百年历史，陆家嘴只有几十年。,B,B,希望有更多真实对话录音
REAL-036,REAL_SUPPLIED,1,,同意,同意,不愿意,韩语,HSK1,不足3个月,来华国际学生,在沪1年以上,4—7小时,1,2,4,2,2,4,5,4,社区生活、饮食、城市建筑,情境对话、分级中文、英文解释,45分钟课堂,教学可操作、易懂、能继续追问,已试用,4,4,4,5,4,4,4,外滩是万国建筑博览，陆家嘴是现代化的象征。,B,A,增加小组协作的任务
REAL-037,REAL_SUPPLIED,1,,同意,同意,不愿意,葡萄牙语,HSK4,2年以上,来华国际学生,在沪1年以上,4—7小时,3,3,3,2,2,4,5,3,饮食、文学艺术、校园生活,来源链接、分级中文、葡语解释,10分钟活动,易懂、教学可操作、准确,未试用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,外滩是古典建筑群，陆家嘴展现都市新面貌。,B,B,暂时没有建议
REAL-038,REAL_SUPPLIED,1,,同意,同意,不愿意,其他（法语）,HSK5及以上,2年以上,来华国际学生,在沪1年以上,4—7小时,5,4,2,3,3,3,5,2,校园生活、城市建筑、饮食,来源链接、分级中文、英文解释,聊天问答,有来源、能继续追问、准确,未试用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,外滩充满历史感，陆家嘴展现都市新面貌。,A,B,加入城市行走的路线推荐
REAL-039,REAL_SUPPLIED,1,,同意,同意,愿意,西班牙语,HSK3,1—2年,来华国际学生,在沪学习或工作不满1年,1—3小时,3,3,2,2,4,3,3,3,节庆礼仪、社区生活、饮食,拼音、例句、情境对话,45分钟课堂,准确、能继续追问、有来源,未试用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,外滩是古典建筑群，陆家嘴是现代摩天大楼。,B,B,希望有和老字号店员对话的练习
REAL-040,REAL_SUPPLIED,1,,同意,同意,愿意,韩语,HSK3,1—2年,来华国际学生,在沪学习或工作不满1年,8小时以上,2,3,3,3,2,4,4,4,非遗与老字号、城市建筑、饮食,图片地图、拼音、分级中文,10分钟活动,能继续追问、有来源、准确,已试用,4,5,4,4,5,4,4,外滩建筑偏欧式古典，陆家嘴全是玻璃高楼。,B,B,界面加载速度希望更快
REAL-041,REAL_SUPPLIED,1,,同意,同意,不愿意,英语,HSK2,7—12个月,来华国际学生,在沪学习或工作不满1年,4—7小时,1,4,3,2,4,5,4,4,城市建筑、校园生活、文学艺术,例句、分级中文,城市行走任务,准确、有来源、易懂,未试用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,外滩看万国建筑，陆家嘴看中国第一高楼。,B,B,增加上海交通卡的办理指南
REAL-042,REAL_SUPPLIED,1,,同意,同意,愿意,西班牙语,HSK2,1—2年,来华国际学生,在沪学习或工作不满1年,少于1小时,2,3,3,2,2,3,3,4,节庆礼仪、公共交通、饮食,例句、来源链接、分级中文,城市行走任务,易懂、有来源,未试用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,外滩风格古典优雅，陆家嘴充满科技感。,B,B,图片和地图可以更多一些
REAL-043,REAL_SUPPLIED,1,,同意,同意,不愿意,韩语,HSK5及以上,2年以上,来华国际学生,在沪1年以上,4—7小时,5,3,3,4,3,3,5,2,社区生活、校园生活,练习反馈、分级中文、例句,聊天问答,有来源、易懂、准确,未试用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,外滩有百年历史，陆家嘴更有现代气息。,C,C,加入更多校园生活场景
REAL-044,REAL_SUPPLIED,1,,同意,同意,愿意,其他（泰语）,HSK5及以上,2年以上,来华国际学生,在沪学习或工作不满1年,少于1小时,5,3,4,3,1,3,4,2,非遗与老字号、工业遗产、城市建筑,文化辨析、情境对话,10分钟活动,语种支持、准确、教学可操作,未试用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,外滩更有文化味道，陆家嘴更有商业气息。,B,A,希望支持更多小语种
REAL-045,REAL_SUPPLIED,1,,同意,同意,愿意,其他（德语）,不清楚,不足3个月,来华国际学生,在沪学习或工作不满1年,4—7小时,3,2,2,3,2,3,5,5,公共交通、城市建筑、社区生活,拼音、文化辨析、图片地图,45分钟课堂,语种支持、准确、能继续追问,未试用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,外滩是古典建筑群，陆家嘴更有现代气息。,B,B,希望有每日一句上海文化推送
REAL-046,REAL_SUPPLIED,1,,同意,同意,愿意,俄语,HSK3,7—12个月,来华国际学生,在沪学习或工作不满1年,1—3小时,3,3,4,2,2,4,4,4,城市建筑、非遗与老字号、节庆礼仪,图片地图、练习反馈、例句,城市行走任务,有来源、易懂、语种支持,未试用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,外滩风格古典优雅，陆家嘴代表新上海。,B,B,希望回答可以收藏和复习
REAL-047,REAL_SUPPLIED,1,,同意,同意,愿意,其他（越南语）,HSK4,1—2年,来华国际学生,在沪1年以上,少于1小时,3,4,4,3,3,4,3,2,饮食、城市建筑、工业遗产,英文解释、拼音、情境对话,聊天问答,能继续追问、有来源、语种支持,未试用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,外滩风格古典优雅，陆家嘴是金融高楼群。,B,C,希望增加节庆活动的实时信息
REAL-048,REAL_SUPPLIED,1,,同意,同意,愿意,英语,HSK3,2年以上,来华国际学生,在沪1年以上,1—3小时,4,3,2,3,4,3,4,5,社区生活、公共交通、饮食,拼音、分级中文、例句,10分钟活动,准确、易懂、有来源,未试用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,外滩保留老上海风貌，陆家嘴代表新上海。,A,B,增加发音跟读功能
REAL-049,REAL_SUPPLIED,1,,同意,同意,不愿意,韩语,HSK4,2年以上,来华国际学生,在沪1年以上,1—3小时,3,4,3,2,3,4,4,4,饮食、公共交通、城市建筑,文化辨析、分级中文、图片地图,聊天问答,能继续追问、易懂、准确,已试用,4,4,5,4,4,4,5,外滩保留老上海风貌，陆家嘴更有现代气息。,B,B,希望增加方言听力材料
REAL-050,REAL_SUPPLIED,1,,同意,同意,不愿意,日语,HSK2,7—12个月,在沪外籍人士,在沪1年以上,1—3小时,3,2,4,3,4,4,5,5,饮食、校园生活、城市建筑,拼音、例句、分级中文,10分钟活动,准确、有来源、易懂,未试用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,外滩是欧式老建筑，陆家嘴更有现代气息。,B,B,答案后面希望附上可靠来源链接
REAL-051,REAL_SUPPLIED,1,,同意,同意,不愿意,西班牙语,HSK4,2年以上,来华国际学生,在沪学习或工作不满1年,1—3小时,4,4,3,3,3,5,3,2,非遗与老字号、校园生活,英文解释、图片地图、分级中文,10分钟活动,能继续追问、教学可操作、易懂,未试用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,外滩记录着老上海故事，陆家嘴充满科技感。,B,B,增加红色文化的外语解释
REAL-052,REAL_SUPPLIED,1,,同意,同意,不愿意,西班牙语,HSK4,2年以上,来华国际学生,在沪1年以上,1—3小时,4,3,1,1,4,4,4,2,城市建筑、公共交通、饮食,分级中文、情境对话、例句,10分钟活动,语种支持、有来源、易懂,未试用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,外滩是万国建筑博览，陆家嘴更有现代气息。,B,A,希望能离线缓存常用场景
REAL-053,REAL_SUPPLIED,1,,同意,同意,不愿意,阿拉伯语,HSK4,1—2年,来华国际学生,在沪学习或工作不满1年,4—7小时,3,5,3,4,3,5,5,3,公共交通、饮食、城市建筑,分级中文、图片地图,城市行走任务,易懂、准确、教学可操作,未试用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,外滩充满历史感，陆家嘴更有现代气息。,B,B,加入更多关于上海美食的内容
REAL-054,REAL_SUPPLIED,1,,同意,同意,不愿意,葡萄牙语,HSK2,3—6个月,来华国际学生,在沪1年以上,1—3小时,3,2,3,2,2,3,3,3,饮食、节庆礼仪、校园生活,文化辨析、分级中文、情境对话,10分钟活动,准确、能继续追问、语种支持,未试用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,外滩有百年历史，陆家嘴是现代摩天大楼。,B,B,希望支持我的母语注释
REAL-055,REAL_SUPPLIED,1,,同意,同意,愿意,英语,HSK4,1—2年,国际中文教育教师或志愿者,在沪1年以上,1—3小时,4,3,3,5,2,3,5,3,节庆礼仪、公共交通、非遗与老字号,分级中文、情境对话、文化辨析,10分钟活动,准确、易懂、能继续追问,已试用,4,4,4,4,5,5,5,外滩适合散步怀旧，陆家嘴适合看现代都市。,B,B,加入上海话简单表达的介绍
REAL-056,REAL_SUPPLIED,1,,同意,同意,不愿意,日语,HSK5及以上,2年以上,来华国际学生,在沪学习或工作不满1年,1—3小时,3,4,3,4,3,4,5,3,非遗与老字号、节庆礼仪、公共交通,分级中文、文化辨析、情境对话,10分钟活动,准确、易懂、有来源,未试用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,外滩是万国建筑博览，陆家嘴展现都市新面貌。,B,B,希望能按HSK等级筛选内容
REAL-057,REAL_SUPPLIED,1,,同意,同意,愿意,日语,HSK3,1—2年,来华国际学生,在沪学习或工作不满1年,1—3小时,3,3,3,2,2,4,4,5,城市建筑、节庆礼仪、红色文化,拼音、分级中文、例句,城市行走任务,有来源、准确、能继续追问,未试用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,外滩是欧式老建筑，陆家嘴充满科技感。,B,B,希望有学习进度记录
REAL-058,REAL_SUPPLIED,1,,同意,同意,不愿意,俄语,HSK4,2年以上,来华国际学生,在沪1年以上,1—3小时,3,3,3,2,2,4,4,2,社区生活、文学艺术、城市建筑,分级中文、情境对话、例句,45分钟课堂,易懂、能继续追问、准确,已试用,4,4,5,3,5,4,4,外滩是欧式老建筑，陆家嘴代表新上海。,A,B,希望有和AI角色对话练习点餐的功能
REAL-059,REAL_SUPPLIED,1,,同意,同意,不愿意,俄语,HSK3,7—12个月,来华国际学生,在沪学习或工作不满1年,4—7小时,4,3,4,2,4,4,3,4,城市建筑、饮食、工业遗产,情境对话、分级中文、拼音,10分钟活动,有来源、准确、能继续追问,未试用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,一个古典一个现代，隔江相望。,B,A,增加更多分级阅读材料
REAL-060,REAL_SUPPLIED,1,,同意,同意,愿意,其他（印尼语）,HSK5及以上,2年以上,来华国际学生,在沪1年以上,1—3小时,4,4,4,3,4,4,4,4,非遗与老字号、饮食,情境对话、文化辨析、来源链接,10分钟活动,准确、易懂、能继续追问,未试用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,外滩充满历史感，陆家嘴充满科技感。,B,B,希望有每周学习报告
