record_id,question,item
REAL-034,Q20,有来源
REAL-034,Q20,易懂
REAL-034,Q20,准确
REAL-035,Q17,城市建筑
REAL-035,Q17,饮食
REAL-035,Q17,校园生活
REAL-035,Q18,英文解释
REAL-035,Q18,情境对话
REAL-035,Q20,能继续追问
REAL-035,Q20,教学可操作
REAL-035,Q20,准确
REAL-036,Q17,社区生活
REAL-036,Q17,饮食
REAL-036,Q17,城市建筑
REAL-036,Q18,情境对话
REAL-036,Q18,分级中文
REAL-036,Q18,英文解释
REAL-036,Q20,教学可操作
REAL-036,Q20,易懂
REAL-036,Q20,能继续追问
REAL-037,Q17,饮食
REAL-037,Q17,文学艺术
REAL-037,Q17,校园生活
REAL-037,Q18,来源链接
REAL-037,Q18,分级中文
REAL-037,Q18,葡语解释
REAL-037,Q20,易懂
REAL-037,Q20,教学可操作
REAL-037,Q20,准确
REAL-038,Q17,校园生活
REAL-038,Q17,城市建筑
REAL-038,Q17,饮食
REAL-038,Q18,来源链接
REAL-038,Q18,分级中文
REAL-038,Q18,英文解释
REAL-038,Q20,有来源
REAL-038,Q20,能继续追问
REAL-038,Q20,准确
REAL-039,Q17,节庆礼仪
REAL-039,Q17,社区生活
REAL-039,Q17,饮食
REAL-039,Q18,拼音
REAL-039,Q18,例句
REAL-039,Q18,情境对话
REAL-039,Q20,准确
REAL-039,Q20,能继续追问
REAL-039,Q20,有来源
REAL-040,Q17,非遗与老字号
REAL-040,Q17,城市建筑
REAL-040,Q17,饮食
REAL-040,Q18,图片地图
REAL-040,Q18,拼音
REAL-040,Q18,分级中文
REAL-040,Q20,能继续追问
REAL-040,Q20,有来源
REAL-040,Q20,准确
REAL-041,Q17,城市建筑
REAL-041,Q17,校园生活
REAL-041,Q17,文学艺术
REAL-041,Q18,例句
REAL-041,Q18,分级中文
REAL-041,Q20,准确
REAL-041,Q20,有来源
REAL-041,Q20,易懂
REAL-042,Q17,节庆礼仪
REAL-042,Q17,公共交通
REAL-042,Q17,饮食
REAL-042,Q18,例句
REAL-042,Q18,来源链接
REAL-042,Q18,分级中文
REAL-042,Q20,易懂
REAL-042,Q20,有来源
REAL-043,Q17,社区生活
REAL-043,Q17,校园生活
REAL-043,Q18,练习反馈
REAL-043,Q18,分级中文
REAL-043,Q18,例句
REAL-043,Q20,有来源
REAL-043,Q20,易懂
REAL-043,Q20,准确
REAL-044,Q17,非遗与老字号
REAL-044,Q17,工业遗产
REAL-044,Q17,城市建筑
REAL-044,Q18,文化辨析
REAL-044,Q18,情境对话
REAL-044,Q20,语种支持
REAL-044,Q20,准确
REAL-044,Q20,教学可操作
REAL-045,Q17,公共交通
REAL-045,Q17,城市建筑
REAL-045,Q17,社区生活
REAL-045,Q18,拼音
REAL-045,Q18,文化辨析
REAL-045,Q18,图片地图
REAL-045,Q20,语种支持
REAL-045,Q20,准确
REAL-045,Q20,能继续追问
REAL-046,Q17,城市建筑
REAL-046,Q17,非遗与老字号
REAL-046,Q17,节庆礼仪
REAL-046,Q18,图片地图
REAL-046,Q18,练习反馈
REAL-046,Q18,例句
REAL-046,Q20,有来源
REAL-046,Q20,易懂
REAL-046,Q20,语种支持
REAL-047,Q17,饮食
REAL-047,Q17,城市建筑
REAL-047,Q17,工业遗产
REAL-047,Q18,英文解释
REAL-047,Q18,拼音
REAL-047,Q18,情境对话
REAL-047,Q20,能继续追问
REAL-047,Q20,有来源
REAL-047,Q20,语种支持
REAL-048,Q17,社区生活
REAL-048,Q17,公共交通
REAL-048,Q17,饮食
REAL-048,Q18,拼音
REAL-048,Q18,分级中文
REAL-048,Q18,例句
REAL-048,Q20,准确
REAL-048,Q20,易懂
REAL-048,Q20,有来源
REAL-049,Q17,饮食
REAL-049,Q17,公共交通
REAL-049,Q17,城市建筑
REAL-049,Q18,文化辨析
REAL-049,Q18,分级中文
REAL-049,Q18,图片地图
REAL-049,Q20,能继续追问
REAL-049,Q20,易懂
REAL-049,Q20,准确
REAL-050,Q17,饮食
REAL-050,Q17,校园生活
REAL-050,Q17,城市建筑
REAL-050,Q18,拼音
REAL-050,Q18,例句
REAL-050,Q18,分级中文
REAL-050,Q20,准确
REAL-050,Q20,有来源
REAL-050,Q20,易懂
REAL-051,Q17,非遗与老字号
REAL-051,Q17,校园生活
REAL-051,Q18,英文解释
REAL-051,Q18,图片地图
REAL-051,Q18,分级中文
REAL-051,Q20,能继续追问
REAL-051,Q20,教学可操作
REAL-051,Q20,易懂
REAL-052,Q17,城市建筑
REAL-052,Q17,公共交通
REAL-052,Q17,饮食
REAL-052,Q18,分级中文
REAL-052,Q18,情境对话
REAL-052,Q18,例句
REAL-052,Q20,语种支持
REAL-052,Q20,有来源
REAL-052,Q20,易懂
REAL-053,Q17,公共交通
REAL-053,Q17,饮食
REAL-053,Q17,城市建筑
REAL-053,Q18,分级中文
REAL-053,Q18,图片地图
REAL-053,Q20,易懂
REAL-053,Q20,准确
REAL-053,Q20,教学可操作
REAL-054,Q17,饮食
REAL-054,Q17,节庆礼仪
REAL-054,Q17,校园生活
REAL-054,Q18,文化辨析
REAL-054,Q18,分级中文
REAL-054,Q18,情境对话
REAL-054,Q20,准确
REAL-054,Q20,能继续追问
REAL-054,Q20,语种支持
REAL-055,Q17,节庆礼仪
REAL-055,Q17,公共交通
REAL-055,Q17,非遗与老字号
REAL-055,Q18,分级中文
REAL-055,Q18,情境对话
REAL-055,Q18,文化辨析
REAL-055,Q20,准确
REAL-055,Q20,易懂
REAL-055,Q20,能继续追问
REAL-056,Q17,非遗与老字号
REAL-056,Q17,节庆礼仪
REAL-056,Q17,公共交通
REAL-056,Q18,分级中文
REAL-056,Q18,文化辨析
REAL-056,Q18,情境对话
REAL-056,Q20,准确
REAL-056,Q20,易懂
REAL-056,Q20,有来源
REAL-057,Q17,城市建筑
REAL-057,Q17,节庆礼仪
REAL-057,Q17,红色文化
REAL-057,Q18,拼音
REAL-057,Q18,分级中文
REAL-057,Q18,例句
REAL-057,Q20,有来源
REAL-057,Q20,准确
REAL-057,Q20,能继续追问
REAL-058,Q17,社区生活
REAL-058,Q17,文学艺术
REAL-058,Q17,城市建筑
REAL-058,Q18,分级中文
REAL-058,Q18,情境对话
REAL-058,Q18,例句
REAL-058,Q20,易懂
REAL-058,Q20,能继续追问
REAL-058,Q20,准确
REAL-059,Q17,城市建筑
REAL-059,Q17,饮食
REAL-059,Q17,工业遗产
REAL-059,Q18,情境对话
REAL-059,Q18,分级中文
REAL-059,Q18,拼音
REAL-059,Q20,有来源
REAL-059,Q20,准确
REAL-059,Q20,能继续追问
REAL-060,Q17,非遗与老字号
REAL-060,Q17,饮食
REAL-060,Q18,情境对话
REAL-060,Q18,文化辨析
REAL-060,Q18,来源链接
REAL-060,Q20,准确
REAL-060,Q20,易懂
REAL-060,Q20,能继续追问
