respondent_id,data_class,consent,group,native_language,hsk_level,identity,shanghai_experience,pre_culture,post_culture,culture_gain,relevance,cultural_clarity,language_accessibility,usability,task_correct,completion_sec,trust,reuse_intent,quality_flag
SYN-058,SYNTHETIC,演示同意,常规检索组,Русский,HSK1,来华国际学生,在沪不足1年,2,2,0,2,3,4,3,0,238,4,3,PASS
SYN-059,SYNTHETIC,演示同意,智语桥组,日本語,HSK1,海外中文学习者,在沪1年以上,2,3,1,5,4,3,4,1,223,3,5,PASS
SYN-060,SYNTHETIC,演示同意,常规检索组,Português,HSK2,来华国际学生,短期到访,3,3,0,4,2,4,3,1,258,3,4,PASS
SYN-061,SYNTHETIC,演示同意,智语桥组,العربية,HSK1,来华国际学生,从未,4,5,1,5,5,4,4,0,241,4,5,PASS
SYN-062,SYNTHETIC,演示同意,常规检索组,Русский,HSK1,来华国际学生,在沪1年以上,2,1,-1,4,4,3,5,1,295,2,3,PASS
SYN-063,SYNTHETIC,演示同意,智语桥组,العربية,HSK4,在沪外籍人士,在沪不足1年,2,3,1,4,3,4,5,1,245,4,3,PASS
SYN-064,SYNTHETIC,演示同意,常规检索组,Español,HSK4,来华国际学生,在沪1年以上,2,3,1,3,4,3,4,1,264,3,4,PASS
SYN-065,SYNTHETIC,演示同意,智语桥组,العربية,HSK2,在沪外籍人士,从未,1,3,2,3,4,3,4,1,210,4,5,PASS
SYN-066,SYNTHETIC,演示同意,常规检索组,English,HSK2,在沪外籍人士,从未,4,5,1,4,3,5,4,0,322,3,2,PASS
SYN-067,SYNTHETIC,演示同意,智语桥组,Русский,HSK4,在沪外籍人士,从未,2,2,0,4,3,4,4,0,144,4,4,PASS
SYN-068,SYNTHETIC,演示同意,常规检索组,Русский,HSK3,海外中文学习者,从未,3,4,1,2,3,4,4,0,378,3,4,PASS
SYN-069,SYNTHETIC,演示同意,智语桥组,Русский,HSK1,来华国际学生,在沪1年以上,3,4,1,4,5,4,4,1,247,5,5,PASS
SYN-070,SYNTHETIC,演示同意,常规检索组,日本語,HSK1,来华国际学生,从未,2,2,0,4,3,3,4,1,237,3,3,PASS
SYN-071,SYNTHETIC,演示同意,智语桥组,العربية,HSK1,在沪外籍人士,短期到访,2,4,2,4,5,4,4,0,276,5,5,PASS
SYN-072,SYNTHETIC,演示同意,常规检索组,한국어,HSK3,来华国际学生,在沪1年以上,2,3,1,3,4,5,5,0,258,4,4,PASS
SYN-073,SYNTHETIC,演示同意,智语桥组,한국어,HSK2,海外中文学习者,短期到访,2,3,1,4,4,4,4,1,198,4,3,PASS
SYN-074,SYNTHETIC,演示同意,常规检索组,Español,HSK3,来华国际学生,短期到访,2,3,1,4,4,2,4,1,344,3,4,PASS
SYN-075,SYNTHETIC,演示同意,智语桥组,Русский,HSK1,在沪外籍人士,短期到访,4,5,1,5,4,5,2,1,181,4,5,PASS
SYN-076,SYNTHETIC,演示同意,常规检索组,Español,HSK4,海外中文学习者,在沪不足1年,3,3,0,4,3,5,3,0,245,3,5,PASS
SYN-077,SYNTHETIC,演示同意,智语桥组,Português,HSK1,来华国际学生,短期到访,2,3,1,4,4,3,3,1,231,4,5,PASS
SYN-078,SYNTHETIC,演示同意,常规检索组,Español,HSK2,来华国际学生,在沪不足1年,3,3,0,3,2,4,3,0,357,3,4,PASS
SYN-079,SYNTHETIC,演示同意,智语桥组,日本語,HSK3,来华国际学生,短期到访,3,5,2,5,4,4,3,1,228,5,3,PASS
SYN-080,SYNTHETIC,演示同意,常规检索组,日本語,HSK3,海外中文学习者,在沪不足1年,2,3,1,4,4,3,3,1,259,4,3,PASS
SYN-081,SYNTHETIC,演示同意,智语桥组,日本語,HSK2,在沪外籍人士,短期到访,2,2,0,3,4,3,5,1,268,4,3,PASS
SYN-082,SYNTHETIC,演示同意,常规检索组,Português,HSK2,在沪外籍人士,在沪不足1年,3,4,1,4,4,3,4,1,309,4,4,PASS
SYN-083,SYNTHETIC,演示同意,智语桥组,Português,HSK3,来华国际学生,从未,3,4,1,4,4,4,5,1,267,4,5,PASS
SYN-084,SYNTHETIC,演示同意,常规检索组,Português,HSK3,来华国际学生,在沪不足1年,1,2,1,4,2,2,1,0,221,3,3,PASS
SYN-085,SYNTHETIC,演示同意,智语桥组,Português,HSK3,来华国际学生,在沪不足1年,3,3,0,5,4,4,3,1,158,4,5,PASS
SYN-086,SYNTHETIC,演示同意,常规检索组,العربية,HSK3,来华国际学生,在沪不足1年,3,2,-1,3,3,3,3,1,269,3,1,PASS
SYN-087,SYNTHETIC,演示同意,智语桥组,한국어,HSK1,来华国际学生,从未,2,4,2,4,4,3,2,0,249,3,3,PASS
SYN-088,SYNTHETIC,演示同意,常规检索组,Русский,HSK3,海外中文学习者,在沪不足1年,1,1,0,3,4,4,3,1,366,4,3,PASS
SYN-089,SYNTHETIC,演示同意,智语桥组,English,HSK2,海外中文学习者,在沪不足1年,2,3,1,5,4,4,4,1,318,4,3,PASS
SYN-090,SYNTHETIC,演示同意,常规检索组,한국어,HSK3,在沪外籍人士,在沪不足1年,2,2,0,5,5,3,3,0,287,4,4,PASS
SYN-091,SYNTHETIC,演示同意,智语桥组,Русский,HSK2,海外中文学习者,从未,2,2,0,3,3,5,3,0,201,3,4,PASS
SYN-092,SYNTHETIC,演示同意,常规检索组,English,HSK2,在沪外籍人士,短期到访,2,3,1,4,4,4,2,0,369,2,3,PASS
SYN-093,SYNTHETIC,演示同意,智语桥组,Português,HSK2,在沪外籍人士,在沪1年以上,2,3,1,5,3,5,5,1,206,2,4,PASS
SYN-094,SYNTHETIC,演示同意,常规检索组,Русский,HSK1,海外中文学习者,在沪1年以上,4,4,0,3,3,3,3,1,255,2,3,PASS
SYN-095,SYNTHETIC,演示同意,智语桥组,English,HSK3,在沪外籍人士,在沪1年以上,4,5,1,5,3,4,3,1,216,4,4,PASS
SYN-096,SYNTHETIC,演示同意,常规检索组,한국어,HSK3,海外中文学习者,短期到访,3,4,1,3,4,3,4,1,216,3,4,PASS
SYN-097,SYNTHETIC,演示同意,智语桥组,English,HSK3,来华国际学生,在沪1年以上,2,4,2,5,4,4,4,1,210,4,3,PASS
SYN-098,SYNTHETIC,演示同意,常规检索组,English,HSK3,海外中文学习者,从未,3,3,0,4,3,3,3,1,145,4,3,PASS
SYN-099,SYNTHETIC,演示同意,智语桥组,日本語,HSK1,在沪外籍人士,从未,3,5,2,3,5,5,4,1,121,3,4,PASS
SYN-100,SYNTHETIC,演示同意,常规检索组,한국어,HSK2,来华国际学生,在沪不足1年,4,4,0,5,3,4,4,1,371,4,4,PASS
SYN-101,SYNTHETIC,演示同意,智语桥组,العربية,HSK3,在沪外籍人士,在沪不足1年,2,4,2,4,4,4,3,1,217,4,4,PASS
SYN-102,SYNTHETIC,演示同意,常规检索组,한국어,HSK1,来华国际学生,在沪不足1年,1,1,0,4,2,3,3,1,234,3,3,PASS
SYN-103,SYNTHETIC,演示同意,智语桥组,Português,HSK2,海外中文学习者,短期到访,2,3,1,4,4,2,4,1,175,4,3,PASS
SYN-104,SYNTHETIC,演示同意,常规检索组,Русский,HSK2,来华国际学生,从未,4,3,-1,3,3,3,4,0,252,3,3,PASS
SYN-105,SYNTHETIC,演示同意,智语桥组,한국어,HSK2,来华国际学生,短期到访,3,4,1,5,4,5,3,0,184,4,5,PASS
SYN-106,SYNTHETIC,演示同意,常规检索组,Русский,HSK1,海外中文学习者,在沪不足1年,3,4,1,4,3,4,3,1,263,4,3,PASS
SYN-107,SYNTHETIC,演示同意,智语桥组,日本語,HSK3,来华国际学生,在沪1年以上,1,2,1,4,3,3,4,0,256,5,5,PASS
SYN-108,SYNTHETIC,演示同意,常规检索组,日本語,HSK2,来华国际学生,从未,3,4,1,3,3,4,4,1,252,4,4,PASS
SYN-109,SYNTHETIC,演示同意,智语桥组,English,HSK1,海外中文学习者,在沪不足1年,2,4,2,4,4,4,3,1,162,4,3,PASS
SYN-110,SYNTHETIC,演示同意,常规检索组,日本語,HSK1,来华国际学生,在沪不足1年,2,3,1,4,3,4,4,1,364,3,3,PASS
SYN-111,SYNTHETIC,演示同意,智语桥组,한국어,HSK2,来华国际学生,从未,3,3,0,4,3,4,4,0,229,5,4,PASS
SYN-112,SYNTHETIC,演示同意,常规检索组,English,HSK3,海外中文学习者,从未,2,3,1,3,3,5,4,1,206,4,4,PASS
SYN-113,SYNTHETIC,演示同意,智语桥组,Русский,HSK3,海外中文学习者,从未,3,3,0,5,5,4,4,1,226,3,3,PASS
SYN-114,SYNTHETIC,演示同意,常规检索组,English,HSK2,来华国际学生,从未,3,2,-1,3,4,3,4,0,341,4,3,PASS
SYN-115,SYNTHETIC,演示同意,智语桥组,Русский,HSK2,来华国际学生,在沪1年以上,1,2,1,4,3,4,5,1,207,4,5,PASS
SYN-116,SYNTHETIC,演示同意,常规检索组,العربية,HSK3,来华国际学生,从未,5,5,0,3,3,3,4,1,310,3,3,PASS
SYN-117,SYNTHETIC,演示同意,智语桥组,日本語,HSK4,来华国际学生,在沪1年以上,3,4,1,4,5,3,5,1,147,4,5,PASS
SYN-118,SYNTHETIC,演示同意,常规检索组,한국어,HSK2,在沪外籍人士,在沪1年以上,4,4,0,3,2,5,4,0,235,3,3,PASS
SYN-119,SYNTHETIC,演示同意,智语桥组,Русский,HSK4,在沪外籍人士,在沪1年以上,3,4,1,5,5,5,5,1,182,5,4,PASS
SYN-120,SYNTHETIC,演示同意,常规检索组,Español,HSK3,来华国际学生,从未,2,2,0,5,4,4,4,1,283,3,4,PASS
